ASX listed companies as at Mon Feb 08 15:04:57 EST 2010

Company name,ASX code,GICS industry group
"1300 SMILES LIMITED",ONT,"Health Care Equipment & Services"
"3D OIL LIMITED",TDO,"Energy"
"3D RESOURCES LIMITED",DDD,"Materials"
"3Q HOLDINGS LIMITED",TQH,"Software & Services"
"4C SECURITY SOLUTIONS LIMITED",FCS,"Technology Hardware & Equipment"
"A-CAP RESOURCES LIMITED",ACB,"Materials"
"A1 MINERALS LIMITED",AAM,"Materials"
"AACL HOLDINGS LIMITED",AAY,"Classification Pending"
"AAQ HOLDINGS LIMITED",AAQ,"Food Beverage & Tobacco"
"AB SVENSK EXPORTKREDIT",SEP,"GICS Sector Code Not Applicable"
"ABACUS PROPERTY GROUP",ABP,"Real Estate"
"ABERDEEN LEADERS LIMITED",ALR,"Diversified Financials"
"ABM RESOURCES NL",ABU,"Materials"
"ABN AMRO BANK N.V.",ABO,"GICS Sector Code Not Applicable"
"ABRA MINING LIMITED",AII,"Materials"
"ACCENT RESOURCES NL",ACS,"Materials"
"ACCLAIM EXPLORATION NL",AEX,"Materials"
"ACRUX LIMITED",ACR,"Pharmaceuticals, Biotechnology & Life Sciences"
"ACTINOGEN LIMITED",ACW,"Pharmaceuticals, Biotechnology & Life Sciences"
"ACTIVEX LIMITED",AIV,"Materials"
"ACUVAX LIMITED",ACU,"Pharmaceuticals, Biotechnology & Life Sciences"
"ADACEL TECHNOLOGIES LIMITED",ADA,"Software & Services"
"ADAMUS RESOURCES LIMITED",ADU,"Materials"
"ADAVALE RESOURCES LIMITED",ADD,"Technology Hardware & Equipment"
"ADCORP AUSTRALIA LIMITED",AAU,"Media"
"ADELAIDE BRIGHTON LIMITED",ABC,"Materials"
"ADELAIDE ENERGY LIMITED",ADE,"Energy"
"ADELAIDE MANAGED FUNDS ASSET BACKED YIELD TRUST",AYT,"Diversified Financials"
"ADELAIDE RESOURCES LIMITED",ADN,"Materials"
"ADELPHI ENERGY LIMITED",ADI,"Energy"
"ADG GLOBAL SUPPLY LIMITED.",ADQ,"Capital Goods"
"ADITYA BIRLA MINERALS LIMITED",ABY,"Materials"
"ADMEREX LIMITED",ADL,"Software & Services"
"ADMIRALTY RESOURCES NL.",ADY,"Materials"
"ADTRANS GROUP LIMITED",ADG,"Retailing"
"ADULTSHOP.COM LIMITED",ASC,"Retailing"
"ADVANCE ENERGY LIMITED",AVD,"Energy"
"ADVANCED BRAKING TECHNOLOGY LTD",ABV,"Automobile & Components"
"ADVANCED ENERGY SYSTEMS LIMITED",AES,"Utilities"
"ADVANCED ENGINE COMPONENTS LIMITED",ACE,"Automobile & Components"
"ADVANCED MAGNESIUM LIMITED",ANM,"Materials"
"ADVANCED SHARE REGISTRY LIMITED",ASW,"Diversified Financials"
"ADVANCED SURGICAL DESIGN & MANUFACTURE LIMITED",AMT,"Health Care Equipment & Services"
"AED OIL LIMITED",AED,"Energy"
"AERIS ENVIRONMENTAL LTD",AEI,"Commercial & Professional Services"
"AEVUM LIMITED",AVE,"Health Care Equipment & Services"
"AFRICAN ENERGY RESOURCES LIMITED",AFR,"Energy"
"AFT CORPORATION LIMITED",AFT,"Capital Goods"
"AGENIX LIMITED",AGX,"Pharmaceuticals, Biotechnology & Life Sciences"
"AGL - OPTIONS OVER BASKET",AG1,"Classification Pending"
"AGL - OPTIONS OVER BASKET.",AG2,"Classification Pending"
"AGL ENERGY LIMITED",AGK,"Utilities"
"AGRI ENERGY LIMITED",AAE,"Energy"
"AGRICULTURAL LAND TRUST",AGJ,"Real Estate"
"AHC LIMITED",AHC,"Real Estate"
"AII S&P/ASX 200 ENERGY",ENY,"Classification Pending"
"AII S&P/ASX 200 FINANCIAL-X-A-REIT",FIX,"Classification Pending"
"AII S&P/ASX 200 FINANCIALS",FIN,"Classification Pending"
"AII S&P/ASX 200 INDUSTRIALS",IDD,"Classification Pending"
"AII S&P/ASX 200 RESOURCES",RSR,"Classification Pending"
"AII S&P/ASX 300 METALS & MINING",MAM,"Classification Pending"
"AINSWORTH GAME TECHNOLOGY LIMITED",AGI,"Consumer Services"
"AIR NEW ZEALAND LIMITED",AIZ,"Transportation"
"AIRCRUISING AUSTRALIA LIMITED",AIG,"Consumer Services"
"AJ LUCAS GROUP LIMITED",AJL,"Capital Goods"
"ALAMAR RESOURCES LIMITED",ALG,"Materials"
"ALARA RESOURCES LIMITED",AUQ,"Energy"
"ALBIDON LIMITED",ALB,"Materials"
"ALCHEMIA LIMITED",ACL,"Pharmaceuticals, Biotechnology & Life Sciences"
"ALCHEMY RESOURCES LIMITED",ALY,"Materials"
"ALCOA INC.",AAI,"Materials"
"ALCYONE RESOURCES LTD",AYN,"Materials"
"ALE PROPERTY GROUP",LEP,"Real Estate"
"ALESCO CORPORATION LIMITED",ALS,"Capital Goods"
"ALINTA ENERGY GROUP",AEJ,"Utilities"
"ALINTA LIMITED - OPTIONS OVER BASKET",AA1,"Classification Pending"
"ALKANE RESOURCES LIMITED",ALK,"Materials"
"ALLIANCE RESOURCES LIMITED",AGS,"Materials"
"ALLIED BRANDS LIMITED",ABQ,"Consumer Services"
"ALLIED GOLD LIMITED",ALD,"Materials"
"ALLOY RESOURCES LIMITED",AYR,"Materials"
"ALPHA FINANCIAL PRODUCTS LIMITED",AFP,"GICS Sector Code Not Applicable"
"ALPHA TECHNOLOGIES CORPORATION LIMITED",ASU,"Technology Hardware & Equipment"
"ALTERA RESOURCES LIMITED",AEA,"Materials"
"ALTERNATIVE INVESTMENT TRUST",AIQ,"Diversified Financials"
"ALTIUM LIMITED",ALU,"Software & Services"
"ALTURA MINING LIMITED",AJM,"Materials"
"ALTUS RENEWABLES LIMITED",AWR,"Classification Pending"
"ALUMINA LIMITED",AWC,"Materials"
"AMA GROUP LIMITED",AMA,"Retailing"
"AMADEUS ENERGY LIMITED",AMU,"Energy"
"AMALGAMATED HOLDINGS LIMITED",AHD,"Media"
"AMBERTECH LIMITED",AMO,"Technology Hardware & Equipment"
"AMBITION GROUP LIMITED",AMB,"Commercial & Professional Services"
"AMCIL LIMITED",AMH,"Diversified Financials"
"AMCOM TELECOMMUNICATIONS LIMITED",AMM,"Telecommunication Services"
"AMCOR LIMITED",AMC,"Materials"
"AMEX RESOURCES LIMITED",AXZ,"Materials"
"AMMTEC LIMITED",AEC,"Materials"
"AMP CAPITAL CHINA GROWTH FUND",AGF,"Diversified Financials"
"AMP GROUP FINANCE SERVICES LIMITED.",AQN,"GICS Sector Code Not Applicable"
"AMP LIMITED",AMP,"Insurance"
"AMPELLA MINING LIMITED",AMX,"Materials"
"ANAECO LIMITED",ANQ,"Commercial & Professional Services"
"ANALYTICA LIMITED",ALT,"Health Care Equipment & Services"
"ANCHOR RESOURCES LIMITED",AHR,"Materials"
"ANDEAN RESOURCES LIMITED",AND,"Materials"
"ANEKA TAMBANG (PERSERO) TBK (PT)",ATM,"Materials"
"ANGLO AUSTRALIAN RESOURCES NL",AAR,"Materials"
"ANGLO PACIFIC GROUP PLC",AGP,"Energy"
"ANGLOGOLD ASHANTI LIMITED",AGG,"Materials"
"ANSELL LIMITED",ANN,"Health Care Equipment & Services"
"ANTARES ENERGY LIMITED",AZZ,"Energy"
"ANTARIA LIMITED",ANO,"Materials"
"ANTEO DIAGNOSTICS LIMITED",ADO,"Pharmaceuticals, Biotechnology & Life Sciences"
"ANTISENSE THERAPEUTICS LIMITED",ANP,"Pharmaceuticals, Biotechnology & Life Sciences"
"ANVIL MINING LIMITED",AVM,"Materials"
